via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros
Calle,33,Avenida,40,Avenida,42,Calle 33 entre Avenida 40 y Avenida 42,230,Casco Historico,1.3
Calle,33,Avenida,42,Avenida,44,Calle 33 entre Avenida 42 y Avenida 44,240,Casco Historico,1.4
Calle,33,Avenida,46,Avenida,48,Calle 33 entre Avenida 46 y Avenida 48,250,Casco Historico,1.5
Calle,33,Avenida,48,Avenida,50,Calle 33 entre Avenida 48 y Avenida 50,250,Casco Historico,1.5
Calle,33,Avenida,50,Avenida,52,Calle 33 entre Avenida 50 y Avenida 52,260,Casco Historico,1.6
Calle,33,Avenida,52,Avenida,54,Calle 33 entre Avenida 52 y Avenida 54,270,Casco Historico,1.7
Calle,33,Avenida,54,Avenida,56,Calle 33 entre Avenida 54 y Avenida 56,280,Casco Historico,1.8
Calle,33,Avenida,56,Avenida,58,Calle 33 entre Avenida 56 y Avenida 58,290,Casco Historico,1.9
Calle,33,Avenida,58,Avenida,60,Calle 33 entre Avenida 58 y Avenida 60,300,Casco Historico,2
Calle,33,Avenida,60,Avenida,62,Calle 33 entre Avenida 60 y Avenida 62,310,Casco Historico,2.1
Calle,33,Avenida,62,Avenida,64,Calle 33 entre Avenida 62 y Avenida 64,320,Casco Historico,2.2
Calle,33,Avenida,64,Avenida,66,Calle 33 entre Avenida 64 y Avenida 66,330,Punta Gotica,2.3
Calle,33,Avenida,66,Avenida,68,Calle 33 entre Avenida 66 y Avenida 68,340,Punta Gotica,2.4
Calle,33,Avenida,68,Avenida,70,Calle 33 entre Avenida 68 y Avenida 70,350,Punta Gotica,2.5
Calle,33,Avenida,70,Avenida,72,Calle 33 entre Avenida 70 y Avenida 72,360,Punta Gotica,2.6
Calle,33,Avenida,72,Avenida,74,Calle 33 entre Avenida 72 y Avenida 74,370,Punta Gotica,2.7
Calle,33A,Calle,33,Avenida,84,Calle 33A entre Calle 33 y Avenida 84,530,Pastorita,4.3
Calle,33A,Avenida,84,Avenida,86,Calle 33A entre Avenida 84 y Avenida 86,550,Pastorita,4.5
Calle,33A,Avenida,86,Avenida,88,Calle 33A entre Avenida 86 y Avenida 88,550,Pastorita,4.5
Calle,33,Avenida,82,Calle,33A,Calle 33 entre Avenida 82 y Calle 33A,520,Pastorita,4.2
Calle,33,Calle,33A,Avenida,84,Calle 33 entre Calle 33A y Avenida 84,520,Pastorita,4.2
Calle,35,Avenida,0,Avenida,litoral,Calle 35 entre Avenida 0 y Avenida litoral,500,Litoral,4
Calle,35,Avenida,0,Avenida,2,Calle 35 entre Avenida 0 y Avenida 2,440,Punta Gorda,3.4
Calle,35,Avenida,2,Avenida,4,Calle 35 entre Avenida 2 y Avenida 4,430,Punta Gorda,3.3
Calle,35,Avenida,4,Avenida,6,Calle 35 entre Avenida 4 y Avenida 6,420,Punta Gorda,3.2
Calle,35,Avenida,6,Avenida,8,Calle 35 entre Avenida 6 y Avenida 8,410,Punta Gorda,3.1
Calle,35,Avenida,12,Avenida,14,Calle 35 entre Avenida 12 y Avenida 14,380,Punta Gorda,2.8
Calle,35,Avenida,14,Avenida,16,Calle 35 entre Avenida 14 y Avenida 16,370,Punta Gorda,2.7
Calle,35,Avenida,16,Avenida,18,Calle 35 entre Avenida 16 y Avenida 18,360,Punta Gorda,2.6
Calle,35,Avenida,18,Avenida,20,Calle 35 entre Avenida 18 y Avenida 20,350,Punta Gorda,2.5
Calle,35,Avenida,20,Avenida,22,Calle 35 entre Avenida 20 y Avenida 22,330,Punta Gorda,2.3
Calle,35,Avenida,38,Avenida,40,Calle 35 entre Avenida 38 y Avenida 40,220,Casco Historico,1.2
Calle,35,Avenida,40,Avenida,42,Calle 35 entre Avenida 40 y Avenida 42,220,Casco Historico,1.2
Calle,35,Avenida,42,Avenida,44,Calle 35 entre Avenida 42 y Avenida 44,230,Casco Historico,1.3
Calle,35,Avenida,44,Avenida,46,Calle 35 entre Avenida 44 y Avenida 46,240,Casco Historico,1.4
Calle,35,Avenida,46,Avenida,48,Calle 35 entre Avenida 46 y Avenida 48,250,Casco Historico,1.5
Calle,35,Avenida,48,Avenida,50,Calle 35 entre Avenida 48 y Avenida 50,260,Casco Historico,1.6
Calle,35,Avenida,50,Avenida,52,Calle 35 entre Avenida 50 y Avenida 52,270,Casco Historico,1.7
Calle,35,Avenida,52,Avenida,54,Calle 35 entre Avenida 52 y Avenida 54,280,Casco Historico,1.8
Calle,35,Avenida,54,Avenida,56,Calle 35 entre Avenida 54 y Avenida 56,290,Casco Historico,1.9
Calle,35,Avenida,56,Avenida,58,Calle 35 entre Avenida 56 y Avenida 58,300,Casco Historico,2
Calle,35,Avenida,58,Avenida,60,Calle 35 entre Avenida 58 y Avenida 60,310,Casco Historico,2.1
Calle,35,Avenida,60,Avenida,62,Calle 35 entre Avenida 60 y Avenida 62,320,Casco Historico,2.2
Calle,35,Avenida,62,Avenida,64,Calle 35 entre Avenida 62 y Avenida 64,330,Casco Historico,2.3
Calle,35,Avenida,64,Avenida,66,Calle 35 entre Avenida 64 y Avenida 66,340,Punta Gotica,2.4
Calle,35,Avenida,66,Avenida,68,Calle 35 entre Avenida 66 y Avenida 68,350,Punta Gotica,2.5
Calle,35,Avenida,68,Avenida,70,Calle 35 entre Avenida 68 y Avenida 70,360,Punta Gotica,2.6
Calle,35,Avenida,70,Avenida,72,Calle 35 entre Avenida 70 y Avenida 72,370,Punta Gotica,2.7
Calle,35,Avenida,72,Avenida,74,Calle 35 entre Avenida 72 y Avenida 74,380,Punta Gotica,2.8
Calle,35,Avenida,82,Avenida,84,Calle 35 entre Avenida 82 y Avenida 84,510,Pastorita,4.1
Calle,35,Avenida,84,Avenida,86,Calle 35 entre Avenida 84 y Avenida 86,530,Pastorita,4.3
Calle,35,Avenida,86,Avenida,88,Calle 35 entre Avenida 86 y Avenida 88,540,Pastorita,4.4
Calle,35,Avenida,88,Avenida,90,Calle 35 entre Avenida 88 y Avenida 90,560,Pastorita,4.6
Calle,37,Avenida,0,Avenida,2,Calle 37 entre Avenida 0 y Avenida 2,420,Punta Gorda,3.2
Calle,37,Avenida,2,Avenida,4,Calle 37 entre Avenida 2 y Avenida 4,410,Punta Gorda,3.1
Calle,37,Avenida,4,Avenida,6,Calle 37 entre Avenida 4 y Avenida 6,400,Punta Gorda,3
Calle,37,Avenida,6,Avenida,8,Calle 37 entre Avenida 6 y Avenida 8,390,Punta Gorda,2.9
Calle,37,Avenida,8,Avenida,10,Calle 37 entre Avenida 8 y Avenida 10,380,Punta Gorda,2.8
Calle,37,Avenida,10,Avenida,12,Calle 37 entre Avenida 10 y Avenida 12,370,Punta Gorda,2.7
Calle,37,Avenida,12,Avenida,14,Calle 37 entre Avenida 12 y Avenida 14,360,Punta Gorda,2.6
Calle,37,Avenida,14,Avenida,16,Calle 37 entre Avenida 14 y Avenida 16,350,Punta Gorda,2.5
Calle,37,Avenida,16,Avenida,18,Calle 37 entre Avenida 16 y Avenida 18,340,Punta Gorda,2.4
Calle,37,Avenida,18,Avenida,20,Calle 37 entre Avenida 18 y Avenida 20,330,Punta Gorda,2.3
Calle,37,Avenida,20,Avenida,22,Calle 37 entre Avenida 20 y Avenida 22,320,Punta Gorda,2.2
Calle,37,Avenida,22,Avenida,24,Calle 37 entre Avenida 22 y Avenida 24,310,Casco Historico,2.1
Calle,37,Avenida,24,Avenida,26,Calle 37 entre Avenida 24 y Avenida 26,300,Casco Historico,2
Calle,37,Avenida,26,Avenida,28,Calle 37 entre Avenida 26 y Avenida 28,290,Casco Historico,1.9
Calle,37,Avenida,28,Avenida,30,Calle 37 entre Avenida 28 y Avenida 30,280,Casco Historico,1.8
Calle,37,Avenida,30,Avenida,32,Calle 37 entre Avenida 30 y Avenida 32,270,Casco Historico,1.7
Calle,37,Avenida,32,Avenida,34,Calle 37 entre Avenida 32 y Avenida 34,260,Casco Historico,1.6
Calle,37,Avenida,34,Avenida,36,Calle 37 entre Avenida 34 y Avenida 36,250,Casco Historico,1.5
Calle,37,Avenida,36,Avenida,38,Calle 37 entre Avenida 36 y Avenida 38,240,Casco Historico,1.4
Calle,37,Avenida,38,Avenida,40,Calle 37 entre Avenida 38 y Avenida 40,230,Casco Historico,1.3
Calle,37,Avenida,40,Avenida,42,Calle 37 entre Avenida 40 y Avenida 42,220,Casco Historico,1.2
Calle,37,Avenida,42,Avenida,44,Calle 37 entre Avenida 42 y Avenida 44,220,Casco Historico,1.2
Calle,37,Avenida,44,Avenida,46,Calle 37 entre Avenida 44 y Avenida 46,230,Casco Historico,1.3
Calle,37,Avenida,46,Avenida,48,Calle 37 entre Avenida 46 y Avenida 48,240,Casco Historico,1.4
Calle,37,Avenida,48,Avenida,50,Calle 37 entre Avenida 48 y Avenida 50,250,Casco Historico,1.5
Calle,37,Avenida,50,Avenida,52,Calle 37 entre Avenida 50 y Avenida 52,260,Casco Historico,1.6
Calle,37,Avenida,52,Avenida,54,Calle 37 entre Avenida 52 y Avenida 54,270,Casco Historico,1.7
Calle,37,Avenida,54,Avenida,56,Calle 37 entre Avenida 54 y Avenida 56,280,Casco Historico,1.8
Calle,37,Avenida,56,Avenida,58,Calle 37 entre Avenida 56 y Avenida 58,290,Casco Historico,1.9
Calle,37,Avenida,58,Avenida,60,Calle 37 entre Avenida 58 y Avenida 60,300,Casco Historico,2
Calle,37,Avenida,60,Avenida,62,Calle 37 entre Avenida 60 y Avenida 62,310,Casco Historico,2.1
Calle,37,Avenida,62,Avenida,64,Calle 37 entre Avenida 62 y Avenida 64,320,Casco Historico,2.2
Calle,37,Avenida,64,Avenida,66,Calle 37 entre Avenida 64 y Avenida 66,330,Punta Gotica,2.3
Calle,37,Avenida,66,Avenida,68,Calle 37 entre Avenida 66 y Avenida 68,340,Punta Gotica,2.4
Calle,37,Avenida,68,Avenida,70,Calle 37 entre Avenida 68 y Avenida 70,350,Punta Gotica,2.5
Calle,37,Avenida,70,Avenida,72,Calle 37 entre Avenida 70 y Avenida 72,360,Punta Gotica,2.6
Calle,37,Avenida,72,Avenida,74,Calle 37 entre Avenida 72 y Avenida 74,370,San Lazaro,2.7
Calle,39,Avenida,4,Avenida,6,Calle 39 entre Avenida 4 y Avenida 6,360,Punta Gorda,2.6
Calle,39,Avenida,6,Avenida,8,Calle 39 entre Avenida 6 y Avenida 8,350,Punta Gorda,2.5
Calle,39,Avenida,8,Avenida,10,Calle 39 entre Avenida 8 y Avenida 10,340,Punta Gorda,2.4
Calle,39,Avenida,10,Avenida,12,Calle 39 entre Avenida 10 y Avenida 12,330,Punta Gorda,2.3
Calle,39,Avenida,12,Avenida,14,Calle 39 entre Avenida 12 y Avenida 14,320,Punta Gorda,2.2
Calle,39,Avenida,14,Avenida,16,Calle 39 entre Avenida 14 y Avenida 16,310,Punta Gorda,2.1
Calle,39,Avenida,16,Avenida,18,Calle 39 entre Avenida 16 y Avenida 18,300,Punta Gorda,2
Calle,39,Avenida,18,Avenida,20,Calle 39 entre Avenida 18 y Avenida 20,290,Punta Gorda,1.9
